Period,Value
Jan-2020,"525,411"
Feb-2020,"525,380"
Mar-2020,"477,676"
Apr-2020,"408,312"
May-2020,"484,978"
Jun-2020,"526,970"
Jul-2020,"535,644"
Aug-2020,"540,423"
Sep-2020,"551,131"
Oct-2020,"549,271"
Nov-2020,"544,421"
Dec-2020,"549,300"
Jan-2021,"570,510"
Feb-2021,"555,489"
Mar-2021,"616,348"
Apr-2021,"622,705"
May-2021,"615,543"
Jun-2021,"622,125"
Jul-2021,"612,647"
Aug-2021,"616,892"
Sep-2021,"620,529"
Oct-2021,"630,562"
Nov-2021,"637,775"
Dec-2021,"632,515"
Jan-2022,"644,034"
Feb-2022,"650,522"
Mar-2022,"664,167"
Apr-2022,"673,245"
May-2022,"671,040"
Jun-2022,"675,702"
Jul-2022,"671,067"
Aug-2022,"675,107"
Sep-2022,"673,312"
Oct-2022,"681,748"
Nov-2022,"673,674"
Dec-2022,"666,734"
Jan-2023,"693,826"
Feb-2023,"686,434"
Mar-2023,"679,067"
Apr-2023,"683,698"
May-2023,"686,672"
Jun-2023,"688,810"
Jul-2023,"690,641"
Aug-2023,"696,238"
Sep-2023,"702,109"
Oct-2023,"699,365"
Nov-2023,"697,167"
Dec-2023,"699,821"
Jan-2024,"694,131"
Feb-2024,"699,739"
Mar-2024,"702,520"
Apr-2024,"702,681"
May-2024,"704,309"
Jun-2024,"702,350"
Jul-2024,"710,851"
Aug-2024,"710,038"
Sep-2024,"716,388"
Oct-2024,"720,393"
Nov-2024,"725,079"
Dec-2024,"730,336"
Jan-2025,"722,944"
Feb-2025,"724,535"
Mar-2025,"734,870"